name,slug,status
Azithromycin,azithromycin,1
Calcium + Vitamin D3,calcium-+-vitamin-d3,1
Tramadol Hydrochloride,tramadol-hydrochloride,1
Omeprazole,omeprazole,1
Gabapentin,gabapentin,1
Isoniazid + Rifampicin,isoniazid-+-rifampicin,1
Ethambutol + Isoniazid + Pyrazinamide + Rifampicin,ethambutol-+-isoniazid-+-pyrazinamide-+-rifampicin,1
Ethambutol + Isoniazid + Rifampicin,ethambutol-+-isoniazid-+-rifampicin,1
Ethambutol,ethambutol,1
Isoniazid + Pyrazinamide + Rifampicin,isoniazid-+-pyrazinamide-+-rifampicin,1
Levetiracetam,levetiracetam,1
Donepezil Hydrochloride,donepezil-hydrochloride,1
Cefuroxime,cefuroxime,1
Cefixime,cefixime,1
Esomeprazole,esomeprazole,1
Atorvastatin,atorvastatin,1
Ticagrelor,ticagrelor,1
Rosuvastatin,rosuvastatin,1
Albendazole,albendazole,1
Chlorpheniramine Maleate,chlorpheniramine-maleate,1
Nicotinamide + Pyridoxine Hydrochloride + Riboflavin + Vitamin B1,nicotinamide-+-pyridoxine-hydrochloride-+-riboflavin-+-vitamin-b1,1
Ciprofloxacin,ciprofloxacin,1
Sulphamethoxazole + Trimethoprim,sulphamethoxazole-+-trimethoprim,1
Aluminium Oxide + Magnesium Hydroxide,aluminium-oxide-+-magnesium-hydroxide,1
Aluminium Hydroxide + Magnesium Hydroxide,aluminium-hydroxide-+-magnesium-hydroxide,1
Paracetamol,paracetamol,1
Mebendazole,mebendazole,1
Amoxicillin,amoxicillin,1
Diclofenac Sodium,diclofenac-sodium,1
Ferrous Sulphate,ferrous-sulphate,1
Zinc,zinc,1
Benzyl Benzoate,benzyl-benzoate,1
Benzoic Acid + Salicylic Acid,benzoic-acid-+-salicylic-acid,1
Metronidazole,metronidazole,1
Dextrose Anhydrous + Potassium Chloride + Sodium Chloride + Trisodium Citrate,dextrose-anhydrous-+-potassium-chloride-+-sodium-chloride-+-trisodium-citrate,1
Salbutamol,salbutamol,1
Cephradine,cephradine,1
Ferrous Sulphate + Folic Acid + Zinc,ferrous-sulphate-+-folic-acid-+-zinc,1
Cetirizine Dihydrochloride,cetirizine-dihydrochloride,1
Domperidone,domperidone,1
Calcium Carbonate,calcium-carbonate,1
Aceclofenac,aceclofenac,1
Caffeine + Paracetamol,caffeine-+-paracetamol,1
Bromazepam,bromazepam,1
Clonazepam,clonazepam,1
Erythromycin,erythromycin,1
Hyoscine Butyl Bromide,hyoscine-butyl-bromide,1
Loratadine,loratadine,1
Ascorbic Acid + Elemental Iron + Folic Acid + Nicotinamide + Pyridoxine Hydrochloride + Riboflavin + Vitamin B1 + Zinc,ascorbic-acid-+-elemental-iron-+-folic-acid-+-nicotinamide-+-pyridoxine-hydrochloride-+-riboflavin-+-vitamin-b1-+-zinc,1
Levocetirizine Hydrochloride,levocetirizine-hydrochloride,1
Desloratadine,desloratadine,1
Elemental Iron + Folic Acid + Nicotinamide + Pyridoxine Hydrochloride + Riboflavin + Vitamin B1 + Zinc,elemental-iron-+-folic-acid-+-nicotinamide-+-pyridoxine-hydrochloride-+-riboflavin-+-vitamin-b1-+-zinc,1
Flucloxacillin,flucloxacillin,1
Vitamin E,vitamin-e,1
Metformin Hydrochloride,metformin-hydrochloride,1
Thiamine Hydrochloride,thiamine-hydrochloride,1
Clotrimazole,clotrimazole,1
Fluconazole,fluconazole,1
Gliclazide,gliclazide,1
Miconazole,miconazole,1
Econazole Nitrate,econazole-nitrate,1
Clobetasone Butyrate,clobetasone-butyrate,1
Ambroxol,ambroxol,1
Ketorolac Tromethamine,ketorolac-tromethamine,1
Aspirin,aspirin,1
Carvedilol,carvedilol,1
Ramipril,ramipril,1
Clopidogrel,clopidogrel,1
Amlodipine,amlodipine,1
Metoprolol Tartrate,metoprolol-tartrate,1
Riboflavin,riboflavin,1
Folic Acid,folic-acid,1
Cyanocobalamin + Pyridoxine Hydrochloride + Vitamin B1,cyanocobalamin-+-pyridoxine-hydrochloride-+-vitamin-b1,1
Econazole Nitrate + Triamcinolone Acetonide,econazole-nitrate-+-triamcinolone-acetonide,1
Betamethasone,betamethasone,1
Baclofen,baclofen,1
Naproxen,naproxen,1
Meclizine Hydrochloride,meclizine-hydrochloride,1
Dextromethorphan Hydrobromide,dextromethorphan-hydrobromide,1
Fexofenadine Hydrochloride,fexofenadine-hydrochloride,1
Aspirin + Clopidogrel,aspirin-+-clopidogrel,1
Sucralose,sucralose,1
Pioglitazone,pioglitazone,1
Pantoprazole,pantoprazole,1
Nitazoxanide,nitazoxanide,1
Amlodipine + Atenolol,amlodipine-+-atenolol,1
Frusemide + Spironolactone,frusemide-+-spironolactone,1
Glimepiride,glimepiride,1
Atenolol,atenolol,1
Losartan Potassium,losartan-potassium,1
Nicotinamide + Pyridoxine Hydrochloride + Riboflavin + Vitamin B1 + Zinc,nicotinamide-+-pyridoxine-hydrochloride-+-riboflavin-+-vitamin-b1-+-zinc,1
Bromhexine Hydrochloride,bromhexine-hydrochloride,1
Mupirocin,mupirocin,1
Etoricoxib,etoricoxib,1
Levofloxacin,levofloxacin,1
Tiemonium Methylsulphate,tiemonium-methylsulphate,1
Clobetasol Propionate,clobetasol-propionate,1
Anhydrous Glucose + Potassium Chloride + Sodium Chloride + Trisodium Citrate,anhydrous-glucose-+-potassium-chloride-+-sodium-chloride-+-trisodium-citrate,1
Chlorhexidine Gluconate + Isopropyl Alcohol,chlorhexidine-gluconate-+-isopropyl-alcohol,1
Montelukast,montelukast,1
Elemental Iron + Folic Acid + Zinc,elemental-iron-+-folic-acid-+-zinc,1
Ondansetron,ondansetron,1
Esomeprazole + Naproxen,esomeprazole-+-naproxen,1
Famotidine,famotidine,1
Calcium (Coral Calcium) + Vitamin D3,calcium-(coral-calcium)-+-vitamin-d3,1
Rupatadine,rupatadine,1
Magaldrate + Simethicone,magaldrate-+-simethicone,1
Simethicone,simethicone,1
Calcium Carbonate + Sodium Alginate + Sodium Bicarbonate,calcium-carbonate-+-sodium-alginate-+-sodium-bicarbonate,1
Bismuth Subsalicylate,bismuth-subsalicylate,1
Diphenhydramine Hydrochloride + Guaiphenesin + Levomenthol,diphenhydramine-hydrochloride-+-guaiphenesin-+-levomenthol,1
Ketotifen,ketotifen,1
Aluminium Oxide + Magnesium Hydroxide + Simethicone,aluminium-oxide-+-magnesium-hydroxide-+-simethicone,1
Lidocaine Hydrochloride,lidocaine-hydrochloride,1
Sodium Chloride,sodium-chloride,1
Amoxicillin + Clavulanic Acid,amoxicillin-+-clavulanic-acid,1
Meropenem,meropenem,1
Ceftriaxone,ceftriaxone,1
Chloramphenicol + Dexamethasone,chloramphenicol-+-dexamethasone,1
Moxifloxacin,moxifloxacin,1
Olopatadine,olopatadine,1
Cefuroxime + Clavulanic Acid,cefuroxime-+-clavulanic-acid,1
Povidone Iodine,povidone-iodine,1
Levamisole + Triclabendazole,levamisole-+-triclabendazole,1
Levamisole,levamisole,1
Promethazine Hydrochloride,promethazine-hydrochloride,1
Meloxicam,meloxicam,1
Sulfadiazine + Sulphadimidine + Sulphapyridine,sulfadiazine-+-sulphadimidine-+-sulphapyridine,1
Allopurinol,allopurinol,1
Acetylsalicylic Acid + Vitamin C,acetylsalicylic-acid-+-vitamin-c,1
Diphenhydramine Hydrochloride,diphenhydramine-hydrochloride,1
Amprolium + Sulfaquinoxaline Sodium + Vitamin K,amprolium-+-sulfaquinoxaline-sodium-+-vitamin-k,1
Furosemide,furosemide,1
Enrofloxacin,enrofloxacin,1
Oxytetracycline,oxytetracycline,1
Doxycycline,doxycycline,1
Chlortetracycline Hydrochloride,chlortetracycline-hydrochloride,1
Tylosin,tylosin,1
Norfloxacine,norfloxacine,1
Tilmicosin,tilmicosin,1
Amprolium,amprolium,1
Toltrazuril,toltrazuril,1
Sulphaclozine,sulphaclozine,1
Neomycin Sulphate,neomycin-sulphate,1
Marbofloxacin,marbofloxacin,1
Gentamicin,gentamicin,1
Lincomycin,lincomycin,1
Dexamethasone,dexamethasone,1
Celecoxib,celecoxib,1
Sparfloxacin,sparfloxacin,1
Ampicillin,ampicillin,1
Ceftazidime,ceftazidime,1
Flupenthixol + Melitracen,flupenthixol-+-melitracen,1
Aluminium Hydroxide + Magnesium Hydroxide + Simethicone,aluminium-hydroxide-+-magnesium-hydroxide-+-simethicone,1
Chloroquine Phosphate,chloroquine-phosphate,1
Cephalexin,cephalexin,1
Bambuterol Hydrochloride,bambuterol-hydrochloride,1
Betamethasone Sodium Phosphate + Neomycin Sulphate,betamethasone-sodium-phosphate-+-neomycin-sulphate,1
Boric Acid + Calcium Gluconate + Dextrose Anhydrous + Magnesium Hypophosphite,boric-acid-+-calcium-gluconate-+-dextrose-anhydrous-+-magnesium-hypophosphite,1
Chondroitin + Glucosamine,chondroitin-+-glucosamine,1
Carbocisteine,carbocisteine,1
Cefadroxil,cefadroxil,1
Cefpodoxime,cefpodoxime,1
Carbamazepine,carbamazepine,1
Sertraline,sertraline,1
Dexamethasone Sodium Phosphate,dexamethasone-sodium-phosphate,1
Drotaverine Hydrochloride,drotaverine-hydrochloride,1
Linezolid,linezolid,1
Ferrous Gluconate,ferrous-gluconate,1
Ferrous Sulphate + Folic Acid,ferrous-sulphate-+-folic-acid,1
Ibuprofen,ibuprofen,1
Flunarizine,flunarizine,1
Griseofulvin,griseofulvin,1
Halothane,halothane,1
Chlorhexidine Gluconate,chlorhexidine-gluconate,1
Hydrocortisone,hydrocortisone,1
Zopiclone,zopiclone,1
Chloramphenicol,chloramphenicol,1
Sodium Cromoglycate,sodium-cromoglycate,1
Propranolol Hydrochloride,propranolol-hydrochloride,1
Irbesartan,irbesartan,1
Amikacin,amikacin,1
Amiloride Hydrochloride + Hydrochlorothiazide,amiloride-hydrochloride-+-hydrochlorothiazide,1
Ketoprofen,ketoprofen,1
Lansoprazole,lansoprazole,1
Gemfibrozil,gemfibrozil,1
Mefloquine,mefloquine,1
Hydrocortisone + Miconazole Nitrate,hydrocortisone-+-miconazole-nitrate,1
Diclofenac + Lidocaine Hydrochloride,diclofenac-+-lidocaine-hydrochloride,1
Isosorbide Mononitrate,isosorbide-mononitrate,1
Elemental Iron + Folic Acid + Nicotinamide + Pyridoxine Hydrochloride + Riboflavin + Vitamin B1 + Vitamin C + Zinc,elemental-iron-+-folic-acid-+-nicotinamide-+-pyridoxine-hydrochloride-+-riboflavin-+-vitamin-b1-+-vitamin-c-+-zinc,1
Bacitracin Zinc + Neomycin Sulphate,bacitracin-zinc-+-neomycin-sulphate,1
Nortriptyline,nortriptyline,1
Vitamin C,vitamin-c,1
Nystatin,nystatin,1
Lomefloxacin,lomefloxacin,1
Permethrin,permethrin,1
Pheniramine Maleate,pheniramine-maleate,1
Iron Hydroxide Polymaltose,iron-hydroxide-polymaltose,1
Simvastatin,simvastatin,1
Lactulose,lactulose,1
Ascorbic Acid + Copper + Manganese + Selenium + Vitamin A + Vitamin E + Vitamin K + Zinc,ascorbic-acid-+-copper-+-manganese-+-selenium-+-vitamin-a-+-vitamin-e-+-vitamin-k-+-zinc,1
Ascorbic Acid + Biotin + Boron + Calcium + Chromium + Copper + Cyanocobalamin + Elemental Iron + Folic Acid + Iodine + Lutein + Magnesium + Manganese + Molybdenum + Niacin + Nickel + Pantothenic acid + Phosphorous + Pottassium + Pyridoxine Hydrochloride + Riboflavin + Selenium + Silicon + Tin + Vanadium + Vitamin A + Vitamin B1 + Vitamin D3 + Vitamin E + Vitamin K + Zinc,ascorbic-acid-+-biotin-+-boron-+-calcium-+-chromium-+-copper-+-cyanocobalamin-+-elemental-iron-+-folic-acid-+-iodine-+-lutein-+-magnesium-+-manganese-+-molybdenum-+-niacin-+-nickel-+-pantothenic-acid-+-phosphorous-+-pottassium-+-pyridoxine-hydrochloride-+-riboflavin-+-selenium-+-silicon-+-tin-+-vanadium-+-vitamin-a-+-vitamin-b1-+-vitamin-d3-+-vitamin-e-+-vitamin-k-+-zinc,1
Ascorbic Acid + Biotin + Boron + Calcium Carbonate + Chromium + Copper + Cyanocobalamin + Diabasic Calcium Phosphate + Elemental Iron + Folic Acid + Iodine + Lutein + Magnesium + Manganese + Molybdenum + Niacin + Nickel + Pantothenic acid + Potassium Chloride + Pyridoxine Hydrochloride + Riboflavin + Selenium + Silicon + Tin + Vanadium + Vitamin B1 + Vitamin D + Vitamin E + Vitamin K + Zinc,ascorbic-acid-+-biotin-+-boron-+-calcium-carbonate-+-chromium-+-copper-+-cyanocobalamin-+-diabasic-calcium-phosphate-+-elemental-iron-+-folic-acid-+-iodine-+-lutein-+-magnesium-+-manganese-+-molybdenum-+-niacin-+-nickel-+-pantothenic-acid-+-potassium-chloride-+-pyridoxine-hydrochloride-+-riboflavin-+-selenium-+-silicon-+-tin-+-vanadium-+-vitamin-b1-+-vitamin-d-+-vitamin-e-+-vitamin-k-+-zinc,1
Hydrochlorothiazide + Losartan Potassium,hydrochlorothiazide-+-losartan-potassium,1
Cetrimide + Chlorhexidine Gluconate,cetrimide-+-chlorhexidine-gluconate,1
Cetrimide + Chlorhexidine Hydrochloride,cetrimide-+-chlorhexidine-hydrochloride,1
Clobazam,clobazam,1
Secnidazole,secnidazole,1
Terbinafine,terbinafine,1
Fluocinolone + Neomycin Sulphate,fluocinolone-+-neomycin-sulphate,1
Lisinopril,lisinopril,1
Betacarotene + Vitamin C + Vitamin E,betacarotene-+-vitamin-c-+-vitamin-e,1
Water For Injection,water-for-injection,1
Olanzapine,olanzapine,1
Calcium Carbonate + Calcium Lactate Gluconate + Vitamin C,calcium-carbonate-+-calcium-lactate-gluconate-+-vitamin-c,1
Elemental Iron + Nicotinamide + Pyridoxine Hydrochloride + Riboflavin + Vitamin B1 + Zinc,elemental-iron-+-nicotinamide-+-pyridoxine-hydrochloride-+-riboflavin-+-vitamin-b1-+-zinc,1
Chlorpheniramine Maleate + Dexamethasone,chlorpheniramine-maleate-+-dexamethasone,1
Lidocaine Hydrochloride + Oxytetracycline,lidocaine-hydrochloride-+-oxytetracycline,1
Boron + Calcium + Copper + Magnesium + Manganese + Vitamin D + Zinc,boron-+-calcium-+-copper-+-magnesium-+-manganese-+-vitamin-d-+-zinc,1
Dicycloverine Hydrochloride,dicycloverine-hydrochloride,1
Rabeprazole Sodium,rabeprazole-sodium,1
Fluocinolone Acetonide,fluocinolone-acetonide,1
Tizanidine,tizanidine,1
Tretinoin,tretinoin,1
Lamotrigine,lamotrigine,1
Monosulfiram,monosulfiram,1
Cefoxitin,cefoxitin,1
Cefpirome,cefpirome,1
Clobetasol Propionate + Neomycin Sulphate + Nystatin,clobetasol-propionate-+-neomycin-sulphate-+-nystatin,1
Inositol,inositol,1
Prednisolone,prednisolone,1
Atenolol + Chlorthalidone,atenolol-+-chlorthalidone,1
Oxaprozin,oxaprozin,1
Raloxifene Hydrochloride,raloxifene-hydrochloride,1
Thiopentone Sodium,thiopentone-sodium,1
Lercanidipine Hydrochloride,lercanidipine-hydrochloride,1
Olmesartan Medoxomil,olmesartan-medoxomil,1
Leflunomide,leflunomide,1
Meclizine Hydrochloride + Pyridoxine Hydrochloride,meclizine-hydrochloride-+-pyridoxine-hydrochloride,1
Atenolol + Nifedipine,atenolol-+-nifedipine,1
Cyanocobalamin + Toldimfos Sodium,cyanocobalamin-+-toldimfos-sodium,1
Ivermectin,ivermectin,1
Butaphosphan + Cyanocobalamin,butaphosphan-+-cyanocobalamin,1
Indapamide,indapamide,1
Mebeverine Hydrochloride,mebeverine-hydrochloride,1
Alendronic Acid + Vitamin D3,alendronic-acid-+-vitamin-d3,1
Cefepime,cefepime,1
Metformin Hydrochloride + Pioglitazone,metformin-hydrochloride-+-pioglitazone,1
Ascorbic Acid + Cod Liver Oil + Nicotinamide + Pyridoxine Hydrochloride + Riboflavin + Vitamin A + Vitamin B1 + Vitamin D3 + Vitamin E,ascorbic-acid-+-cod-liver-oil-+-nicotinamide-+-pyridoxine-hydrochloride-+-riboflavin-+-vitamin-a-+-vitamin-b1-+-vitamin-d3-+-vitamin-e,1
Diethylcarbamazine Citrate,diethylcarbamazine-citrate,1
Cilastatin + Imipenem,cilastatin-+-imipenem,1
Levosalbutamol,levosalbutamol,1
Dexibuprofen (S Ibuprofen),dexibuprofen-(s-ibuprofen),1
Menthol + Methyl Salicylate,menthol-+-methyl-salicylate,1
Hydroxyzine Hydrochloride,hydroxyzine-hydrochloride,1
Folic Acid + Zinc,folic-acid-+-zinc,1
Zinc Oxide,zinc-oxide,1
Timolol Maleate,timolol-maleate,1
Bisoprolol Hemifumarate,bisoprolol-hemifumarate,1
Valacyclovir,valacyclovir,1
Amlodipine + Benazepril Hydrochloride,amlodipine-+-benazepril-hydrochloride,1
Nebivolol,nebivolol,1
Voriconazole,voriconazole,1
Mecobalamin,mecobalamin,1
Buprenorphine,buprenorphine,1
Tanoxicam,tanoxicam,1
Piracetam,piracetam,1
Ambroxol Hydrochloride,ambroxol-hydrochloride,1
Diosmin + Hesperidin,diosmin-+-hesperidin,1
Hypromellose,hypromellose,1
