#SL,Name of the Manufacturer,Brand Name,Generic Name,Strength,Dosage Description,Price,Use For,DAR,company_id,generic_id,strength_id,dose_id,slug,price_cleaned
224,Adova Pharmaceuticals Ltd.,AdCflox (Vet),Ciprofloxacin,10 gm/100 ml,Solution,"233.00 Tk, 1050.00 Tk",Veterinary,398-0022-077,4,22,106.0,14,adcflox-(vet),233.001050.00
250,Advanced Chemical Industries Limited,Acira,Chlorpheniramine Maleate,2 mg/5 ml,Syrup,"14.09 Tk, 14.94 Tk",Human,005-0395-021,5,20,23.0,5,acira,14.0914.94
263,Advanced Chemical Industries Limited,Anaflex,Naproxen,10 gm/100 gm,Gel,"116.35 Tk, 62.42 Tk",Human,005-0147-064,5,77,123.0,12,anaflex,116.3562.42
270,Advanced Chemical Industries Limited,Avlomox  DS,Amoxicillin,250 mg/5 ml,Powder For Suspension,"49.73 Tk, 65.45 Tk",Human,005-0407-023,5,28,44.0,4,avlomox--ds,49.7365.45
281,Advanced Chemical Industries Limited,Avlosef  DS  250,Cephradine,250 mg/5 ml,Powder For Suspension,"80.54 Tk, 135.41 Tk",Human,005-0378-023,5,37,44.0,4,avlosef--ds--250,80.54135.41
312,Advanced Chemical Industries Limited,Cefim,Cefixime,100 mg/5 ml,Powder For Suspension,"130.39 Tk, 210.63 Tk, 241.62 Tk",Human,005-0308-023,5,14,18.0,4,cefim,130.39210.63241.62
328,Advanced Chemical Industries Limited,Dermasim 1%,Clotrimazole,10 mg/gm,Cream,"40.12 Tk, 35.21 Tk",Human,005-0334-071,5,57,48.0,11,dermasim-1%,40.1235.21
371,Advanced Chemical Industries Limited,Hexisol,Chlorhexidine Gluconate,500 mg/100 ml,Hand Rub,"55.00 Tk, 140.00 Tk",Human,005-0103-071,5,175,145.0,29,hexisol,55.00140.00
405,Advanced Chemical Industries Limited,Micoral,Miconazole,20 mg/gm,Oral Gel,"60.18 Tk, 100.30 Tk",Human,005-0151-073,5,60,51.0,30,micoral,60.18100.30
423,Advanced Chemical Industries Limited,Nutrivit-B,Nicotinamide + Pyridoxine Hydrochloride + Riboflavin + Vitamin B1,20 mg + 2 mg + 2 mg + 5 mg/5 ml,Syrup,"35.65 Tk, 62.19 Tk",Human,005-0153-078,5,21,26.0,5,nutrivit-b,35.6562.19
473,Advanced Chemical Industries Limited,Vave,Domperidone,5 mg/5 ml,Suspension,"35.11 Tk, 40.12 Tk",Human,005-0291-018,5,40,38.0,6,vave,35.1140.12
477,Advanced Chemical Industries Limited,Xcel,Paracetamol,80 mg/ml,Paediatric Drops,"12.35 Tk, 20.70 Tk",Human,005-0317-006,5,26,75.0,7,xcel,12.3520.70
540,Advanced Chemical Industries Limited,Acitol B12,Cyanocobalamin + Toldimfos Sodium,5 mg + 20 gm/100 ml,Injection,"50.34 Tk, 377.55 Tk",Veterinary,005-0592-077,5,444,188.0,15,acitol-b12,50.34377.55
542,Advanced Chemical Industries Limited,Catopan  VET,Butaphosphan + Cyanocobalamin,10 gm + 5 mg/100 ml,Injection,"50.34 Tk, 458.09 Tk",Veterinary,005-0594-077,5,446,190.0,15,catopan--vet,50.34458.09
569,Advanced Chemical Industries Limited,Brodil Levo,Levosalbutamol,1 mg/5 ml,Syrup,"30.09 Tk, 45.14 Tk",Human,005-0533-044,5,455,90.0,5,brodil-levo,30.0945.14
580,Advanced Chemical Industries Limited,Diar,Nitazoxanide,100 mg/5 ml,Powder For Suspension,"35.24 Tk, 50.34 Tk",Human,005-0517-027,5,85,18.0,4,diar,35.2450.34
620,Advanced Chemical Industries Limited,Minocap,Aminocaproic Acid,1 gm/5ml,Injection,"50.34 Tk, 25.17 Tk",Human,005-0601-033,5,476,226.0,15,minocap,50.3425.17
675,Advanced Chemical Industries Limited,Acemox    30%,Amoxicillin,30 %,Powder,"267.25 Tk, 1300.75 Tk, 1997.51 Tk",Veterinary,005-0324-077,5,28,115.0,21,acemox----30%,267.251300.751997.51
701,Advanced Chemical Industries Limited,Xcel,Paracetamol,120 mg/5 ml,Syrup,"31.87 Tk, 20.70 Tk",Human,005-0677-006,5,26,31.0,5,xcel,31.8720.70
702,Advanced Chemical Industries Limited,Listoral Original,Eucalypytol + Menthol + Methyl Salicylate + Thymol,92 mg + 42 mg + 60 mg + 64 mg/100 ml,Mouth Wash,"75.51 Tk, 140.95 Tk",Human,005-0676-073,5,501,250.0,37,listoral-original,75.51140.95
717,Advanced Chemical Industries Limited,Sibalyn,Silver Sulphadiazine,1 %,Cream,"40.12 Tk, 260.78 Tk",Human,005-0708-023,5,506,108.0,11,sibalyn,40.12260.78
753,Advanced Chemical Industries Limited,Sodival,Sodium Valproate,200 mg,Tablet,"2.52 Tk, 4.01 Tk",Human,005-0745-046,5,519,19.0,1,sodival,2.524.01
759,Advanced Chemical Industries Limited,Nitroxynil,Nitroxynil,25 gm/100 ml,Injection,"57.33 Tk, 133.28 Tk",Veterinary,005-0751-077,5,522,182.0,15,nitroxynil,57.33133.28
782,Advanced Chemical Industries Limited,Sebasol,Benzyl Benzoate,1.25 gm/5 ml,Lotion,"40.00 Tk, 52.00 Tk, 150.00 Tk, 255.00 Tk, 1000.00 Tk",Human,005-0774-071,5,32,34.0,8,sebasol,40.0052.00150.00255.001000.00
832,Advanced Chemical Industries Limited,Rinase Respiratory Solution,Ipratropium Bromide,250 mcg/ml,Solution,"14.04 Tk, 130.39 Tk",Human,005-0826-044,5,549,292.0,14,rinase-respiratory-solution,14.04130.39
877,Advanced Chemical Industries Limited,Brodil Acucap,Salbutamol,200 mcg,Inhalation Capsule,"2.51 Tk, 170.51 Tk",Human,005-0891-044,5,36,210.0,52,brodil-acucap,2.51170.51
