"id","name","slug","status","address","note","created_at","updated_at","deleted_at","created_by","updated_by","deleted_by"
"1","ACI HealthCare Limited","aci-healthcare-limited","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"2","Active Fine Chemicals Ltd.","active-fine-chemicals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"3","Ad-din Pharmaceuticals Ltd.","ad-din-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"4","Adova Pharmaceuticals Ltd.","adova-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"5","Advanced Chemical Industries Limited","advanced-chemical-industries-limited","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"6","Advent Pharma Ltd.","advent-pharma-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"7","AFC Agro Biotech Ltd.","afc-agro-biotech-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"8","Al-Madina Pharmaceuticals Ltd.","al-madina-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"9","Albion Animal Feed Products (Veterinary)","albion-animal-feed-products-(veterinary)","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"10","Albion Laboratories Ltd.","albion-laboratories-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"11","Albion Specialized Pharma Limited","albion-specialized-pharma-limited","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"12","Alco Pharma Limited","alco-pharma-limited","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"13","Alkad Laboratories","alkad-laboratories","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"14","Allied Pharmaceuticals Ltd.","allied-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"15","Ambee Pharmaceuticals Ltd.","ambee-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"16","Amico Laboratories Ltd.","amico-laboratories-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"17","Amulet Pharmaceuticals Ltd.","amulet-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"18","APC Pharma Limited","apc-pharma-limited","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"19","Apex Pharma Ltd.","apex-pharma-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"20","Apollo Pharmaceutical Laboratories Ltd.","apollo-pharmaceutical-laboratories-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"21","Arges Life Science Ltd.","arges-life-science-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"22","Aristopharma Limited","aristopharma-limited","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"23","Aristopharma Limited, Gazipur","aristopharma-limited,-gazipur","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"24","Army Pharma Limited","army-pharma-limited","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"25","Asiatic Laboratories Ltd.","asiatic-laboratories-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"26","Astra Biopharmaceuticals Ltd.","astra-biopharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"27","Avarox Pharmaceuticals Ltd.","avarox-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"28","Aztec Pharmaceuticals Ltd.","aztec-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"29","Bangladesh Antibiotic Industries Limited","bangladesh-antibiotic-industries-limited","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"30","Beacon Cephalosporin Ltd.,","beacon-cephalosporin-ltd.,","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"31","Beacon Pharmaceuticals PLC","beacon-pharmaceuticals-plc","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"32","Belsen Pharmaceuticals Ltd.","belsen-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"33","Bengal Drugs & Chemical Works Pharm. Ltd.","bengal-drugs-&-chemical-works-pharm.-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"34","Bengal Remedies Ltd.","bengal-remedies-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"35","Benham Pharmaceuticals Ltd.","benham-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"36","Beximco Pharmaceuticals Ltd.","beximco-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"37","Beximco Pharmaceuticals Ltd., Kaliakoir","beximco-pharmaceuticals-ltd.,-kaliakoir","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"38","Bexter Pharmaceuticals","bexter-pharmaceuticals","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"39","Biogen Pharmaceuticals Ltd.","biogen-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"40","Biopharma Ltd.","biopharma-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"41","Bridge Pharmaceuticals Ltd.","bridge-pharmaceuticals-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"42","Bristol Pharma Ltd.","bristol-pharma-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"43","C2C Pharma Limited","c2c-pharma-limited","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"44","Centeon Pharma Limited","centeon-pharma-limited","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"45","Central Pharmaceutical Ltd.","central-pharmaceutical-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
"46","Chemist Laboratories Ltd.","chemist-laboratories-ltd.","1",NULL,NULL,"2025-01-17 20:45:48",NULL,NULL,NULL,NULL,NULL
