"id","name","slug","status","created_at","updated_at","deleted_at","created_by","updated_by","deleted_by"
"1","Azithromycin","azithromycin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"2","Calcium + Vitamin D3","calcium-+-vitamin-d3","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"3","Tramadol Hydrochloride","tramadol-hydrochloride","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"4","Omeprazole","omeprazole","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"5","Gabapentin","gabapentin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"6","Isoniazid + Rifampicin","isoniazid-+-rifampicin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"7","Ethambutol + Isoniazid + Pyrazinamide + Rifampicin","ethambutol-+-isoniazid-+-pyrazinamide-+-rifampicin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"8","Ethambutol + Isoniazid + Rifampicin","ethambutol-+-isoniazid-+-rifampicin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"9","Ethambutol","ethambutol","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"10","Isoniazid + Pyrazinamide + Rifampicin","isoniazid-+-pyrazinamide-+-rifampicin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"11","Levetiracetam","levetiracetam","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"12","Donepezil Hydrochloride","donepezil-hydrochloride","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"13","Cefuroxime","cefuroxime","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"14","Cefixime","cefixime","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"15","Esomeprazole","esomeprazole","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"16","Atorvastatin","atorvastatin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"17","Ticagrelor","ticagrelor","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"18","Rosuvastatin","rosuvastatin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"19","Albendazole","albendazole","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"20","Chlorpheniramine Maleate","chlorpheniramine-maleate","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"21","Nicotinamide + Pyridoxine Hydrochloride + Riboflavin + Vitamin B1","nicotinamide-+-pyridoxine-hydrochloride-+-riboflavin-+-vitamin-b1","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"22","Ciprofloxacin","ciprofloxacin","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"23","Sulphamethoxazole + Trimethoprim","sulphamethoxazole-+-trimethoprim","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"24","Aluminium Oxide + Magnesium Hydroxide","aluminium-oxide-+-magnesium-hydroxide","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
"25","Aluminium Hydroxide + Magnesium Hydroxide","aluminium-hydroxide-+-magnesium-hydroxide","1","2025-01-17 19:26:17",NULL,NULL,NULL,NULL,NULL
