"id","quantity","unit","status","created_at","updated_at","deleted_at","created_by","updated_by","deleted_by","name"
"1","500","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"500 mg"
"2","500","mg + 200 IU","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"500 mg + 200 IU"
"3","50","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"50 mg"
"4","20","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"20 mg"
"5","600","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"600 mg"
"6","75","mg + 150 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"75 mg + 150 mg"
"7","275","mg + 75 mg + 400 mg + 150 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"275 mg + 75 mg + 400 mg + 150 mg"
"8","275","mg + 75 mg + 150 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"275 mg + 75 mg + 150 mg"
"9","100","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"100 mg"
"10","50","mg + 75 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"50 mg + 75 mg"
"11","50","mg + 150 mg + 75 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"50 mg + 150 mg + 75 mg"
"12","250","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"250 mg"
"13","750","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"750 mg"
"14","1000","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"1000 mg"
"15","5","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"5 mg"
"16","10","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"10 mg"
"17","125","mg/5 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"125 mg/5 ml"
"18","100","mg/5 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"100 mg/5 ml"
"19","200","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"200 mg"
"20","200","mg/5 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"200 mg/5 ml"
"21","90","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"90 mg"
"22","400","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"400 mg"
"23","2","mg/5 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"2 mg/5 ml"
"24","4","mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"4 mg"
"25","20","mg + 2 mg + 2 mg + 5 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"20 mg + 2 mg + 2 mg + 5 mg"
"26","20","mg + 2 mg + 2 mg + 5 mg/5 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"20 mg + 2 mg + 2 mg + 5 mg/5 ml"
"27","200","mg + 40 mg/5 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"200 mg + 40 mg/5 ml"
"28","800","mg + 160 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"800 mg + 160 mg"
"29","175","mg + 225 mg/5 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"175 mg + 225 mg/5 ml"
"30","250","mg + 400 mg","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"250 mg + 400 mg"
"31","120","mg/5 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"120 mg/5 ml"
"32","125","mg/1.25 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"125 mg/1.25 ml"
"33","10","mg/5 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"10 mg/5 ml"
"34","1.25","gm/5 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"1.25 gm/5 ml"
"35","60","mg + 30 mg/gm","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"60 mg + 30 mg/gm"
"36","10","gm + 750 gm + 1.75 gm + 1.45 gm/500 ml","1","2025-01-16 19:32:52",NULL,NULL,NULL,NULL,NULL,"10 gm + 750 gm + 1.75 gm + 1.45 gm/500 ml"
